day_of_week,member_type,frequency
Saturday,member,1283852
Monday,member,1241736
Tuesday,casual,744026
Sunday,casual,1214998
Sunday,member,1104386
Saturday,casual,1467997
Thursday,member,1392289
Tuesday,member,1351265
Friday,casual,1000871
Thursday,casual,831671
Friday,member,1326490
Monday,casual,780691
Wednesday,casual,766592
Wednesday,member,1397342
