Material,Matl group,Size/dimensions
40108701,D12C2,TH
40108801,D12C2,UV
40108901,D12C2,FS
40109001,D12C2,TH
40109101,D12C2,None
40109201,D12C2,None
40109301,D12C2,None
40109401,D12C2,FSGL
40109501,D12C2,FSGL
40109601,D12C2,SV
40109701,D12C2,GL
40109801,D12C2,FS
40109901,D12C2,UV
40110001,D12C2,UV
40110101,D12C2,FS
40110201,D12C2,FS
40110301,D12C2,GL
40110401,D12C2,GL
40110501,D12C2,SV
40110601,D12C2,FS
40110701,D12C2,FS
40110801,D12C2,FSGL
40110901,D12C2,FS
40111001,D12C2,FS
40111101,D12C2,FS
40111301,D12C2,None
40111401,D12C2,None
40111501,D12C2,None
40111601,D12C2,GL
40111701,D12C2,GL
40111801,D12C2,FS
40111901,D12C2,FS
40112001,D12C2,GL
40112101,D12C2,UV
40112201,D12C2,FS
40112301,D12C2,GL
40112401,D12C2,SVCX80
40112501,D12C2,UV
40112601,D12C2,FSGL
40112701,D12C2,FS
40112701QA01,D12C2,FS
40112801,D12C2,FS
40112901,D12C2,None
40112901QA01,D12C2,None
40113001,D12C2,GL
40113001QA01,D12C2,GL
40113101,D12C2,None
40113101QA01,D12C2,None
40113201,D12C2,None
40113301,D12C2,None
40113301QA01,D12C2,None
40113401,D12C2,None
40113501,D12C2,CX80
40113601,D12C2,TH
40113601QA01,D12C2,TH
40113701,D12C2,SV
40113801,D12C2,UV
40113901,D12C2,GL
40113901QA01,D12C2,GL
40114001,D12C2,None
40114001QA01,D12C2,None
40114101,D12C2,SV
40114201,D12C2,UV
40114301,D12C2,SV
40114401,D12C2,TH
40114401QA01,D12C2,TH
40114501,D12C2,GL
40114601,D12C2,UV
40114601QA01,D12C2,UV
40114701,D12C2,TH
40114701QA01,D12C2,TH
40114801,D12C2,TH
40114901,D12C2,TH
40114901QA01,D12C2,TH
40115001,D12C2,SV
40115001QA01,D12C2,SV
40115101,D12C2,FS
40115201,D12C2,UV
40115301,D12C2,None
40115301QA01,D12C2,None
40115401,D12C2,TH
40115401QA01,D12C2,TH
40115501,D12C2,TH
40115601,D12C2,TH
40115601QA01,D12C2,TH
40115701,D12C2,TH
40115701QA01,D12C2,TH
40115801,D12C2,TH
40115901,D12C2,UV
40115901QA01,D12C2,UV
40116001,D12C2,UV
40116001QA01,D12C2,UV
40116101,D12C2,TH
40116101QA01,D12C2,TH
40116201,D12C2,GL
40116201QA01,D12C2,GL
40116301,D12C2,GL
40116301QA01,D12C2,GL
40116401,D12C2,FSGL
40116501,D12C2,FS
40116501QA01,D12C2,FS
40116601,D12C2,FS
40116901,D12C2,FSGL
40117301,D12C2,None
40117401,D12C2,None
40117501,D12C2,None
40117601,D12C2,None
40117701,D12C2,SV
40117801,D12C2,None
40117901,D12C2,TH
40117901QA01,D12C2,TH
40118001,D12C2,TH
42241,D12Y2,None
42242,D12Y2,None
42245,D12Y2,None
42246,D12Y2,None
42247,D12Y2,None
42248,D12Y2,None
42249,D12Y2,None
42250,D12Y2,None
42252,D12Y2,None
42254,D12Y2,None
42255,D12Y2,None
42256,D12Y2,None
42257,D12Y2,None
42258,D12Y2,None
42259,D12Y2,None
42260,D12Y2,None
42262,D12Y2,None
42264,D12Y2,None
42265,D12Y2,None
42266,D12Y2,None
42267,D12Y2,None
42268,D12Y2,None
42269,D12Y2,None
42270,D12Y2,None
42271,D12Y2,None
42272,D12Y2,None
42274,D12Y2,None
42275,D12Y2,None
42276,D12Y2,None
42277,D12Y2,None
42278,D12Y2,None
42280,D12Y2,None
42281,D12Y2,None
42282,D12Y2,None
42283,D12Y2,None
42284,D12Y2,None
42285,D12Y2,None
42286,D12Y2,None
42287,D12Y2,None
42288,D12Y2,None
42289,D12Y2,None
42290,D12Y2,None
42291,D12Y2,None
42294,D12Y2,None
42295,D12Y2,None
42300,D12Y2,None
43679,D12D2,UV
43680,D12D2,None
44263,D12D2,None
44437,D12D2,UV
44761,D12D2,None
44769,D12D2,None
44770,D12D2,None
46019,STAT,None
46030,STAT,None
46034,STAT,None
46040,STAT,None
46044,STAT,None
46050,STAT,None
46050101,MONEYCD,FSMC
46050201,MONEYCD,THMC
46050301,MONEYCD,THMC
46050401,MONEYCD,MC
46050601,MONEYCD,GLMC
46050901,MONEYCD,MC
46051001,MONEYCD,MC
46051101,MONEYCD,FSMC
46051201,MONEYCD,UVMC
46051201QA01,MONEYCD,UVMC
46051301,MONEYCD,FSGLMC
46070,STAT,None
46099,STAT,None
46104,STAT,None
46105,STAT,None
46112,STAT,None
46113,STAT,None
47050301,CNC100,None
47050401,CNC100,None
47050501,CNC100,None
47050601,CNC100,GL
47050701,CNC130,FS2
47050801,CNC100,GL
47051001,CNC100,FS
47051101,CNC100,None
47051201,CNC100,FS
47051401,CNC100,FS
47051601,CNC100,FS
47052201,CNC100,FS
47053201,CNC100,GL
47053301,CNC100,FSGL
47053401,CNC100,FSGL
47053601,CNC100,FSGL
47053701,CNC100,GL
47053901,CNC100,GL
47054001,CNC100,TI
47054101,CNC100,FSGL
47054101QC01,CNC100,FSGL
47054201,CNC100,FSGL
47054301,CNC100,FSGL
47054301QC01,CNC100,FSGL
47054401,CNC100,GL
47054501,CNC100,FSGL
47054501QC01,CNC100,FSGL
47054601,CNC100,GL
47054701,CNC100,GL
47054801,CNC100,FSGL
47054901,CNC100,GLTI
47055001,CNC100,FSGLTI
47055101,CNC100,GL
47055201,CNC100,GL
47055301,CNC100,GL
47055401,CNC100,GL
47055501,CNC100,FSGL
47055601,CNC100,FSGL
47055701,CNC100,FSGL
47055801,CNC100,FS2
47056001,CNC100,FSGL
47056101,CNC100,GL
47056201,CNC100,FS2
47056301,CNC100,None
47056401,CNC100,GL
47056501,CNC100,FSGL
47056601,CNC100,FSTI
47056701,CNC100,FS
47056801,CNC100,FS
47056901,CNC100,FS
47057001,CNC100,FS
47057101,CNC100,None
47057201,CNC100,FSGLTI
47057301,CNC100,GLEBX-VVVTI
47057401,CNC100,FSGL
47057501,CNC100,GL
47057601,CNC100,FSGL
47057801,CNC100,GL
47057901,CNC100,GL
47058001,CNC100,GL
47058101,CNC100,GL
47058201,CNC100,GL
47058301,CNC100,FSGL
47058401,CNC100,GL
47058501,CNC100,GL
47058601,CNC100,GL
47058701,CNC100,GL
47058801,CNC100,FS2
47058901,CNC100,FSTI
47059001,CNC100,GL
47059101,CNC100,FS
47059201,CNC100,FSGLTI
47059301,CNC100,GL
47059401,CNC100,GL
47059501,CNC100,GL
47059601,CNC100,FSGL
47059701,CNC100,GL
47059801,CNC100,GL
47059901,CNC100,FSGL
47060001,CNC100,FSGL
47060101,CNC100,FSGL
47060101QA01,CNC100,FSGL
47060201,CNC100,FSGL
47060301,CNC100,GL
47060401,CNC100,FSGL
47060501,CNC100,GL
47060601,CNC100,GL
47060701,CNC100,GL
47060801,CNC100,FSGL
47060901,CNC100,FSGL
47061001,CNC100,None
47061101,CNC100,GL
47061101QA01,CNC100,GL
47061201,CNC100,FSGL
47061201QA01,CNC100,FSGL
47061301,CNC100,FSGL
47061401,CNC100,GL
47061501,CNC100,GL
47061601,CNC100,FS
47061701,CNC100,FSGL
47061801,CNC100,FS
47061901,CNC100,FS
47062001,CNC100,FSGL
47062101,CNC100,FS
47062201,CNC100,FSGL
47062301,CNC100,GL
47062301QA01,CNC100,GL
47062401,CNC100,GL
47062501,CNC100,FSGL
47062601,CNC100,GL
47062701,CNC100,GLCX81
47062701QA01,CNC100,GLCX81
47062801,CNC100,FSGL
47062901,CNC100,FSGL
47062901QA01,CNC100,FSGL
47063001,CNC100,FSGL
47063001QA01,CNC100,FSGL
47063101,CNC100,GL
47063201,CNC100,FS
47063301,CNC100,FS
47063401,CNC100,FS
47063501,CNC100,GL
47063601,CNC100,GL
47063701,CNC100,GL
47063701QA01,CNC100,GL
47063801,CNC100,FS
47063801QA01,CNC100,FS
47063901,CNC100,FS
47064001,CNC100,FS
47064001QA01,CNC100,FS
47064101,CNC100,None
47064101QA01,CNC100,None
47064201,CNC100,FS
47064201QA01,CNC100,FS
47064301,CNC100,FS
47064301QA01,CNC100,FS
47064401,CNC100,FS
47064401QA01,CNC100,FS
47064501,CNC100,GL
47064501QA01,CNC100,GL
47064601,CNC100,FS
47064601QA01,CNC100,FS
47064701,CNC100,GL
47064701QA01,CNC100,GL
47064801,CNC100,FS
47064801QA01,CNC100,FS
47064901,CNC100,None
47064901QA01,CNC100,None
47065001,CNC100,GL
47065001QA01,CNC100,GL
47065101,CNC100,None
47065101QA01,CNC100,None
47065201,CNC100,None
47065201QA01,CNC100,None
47065301,CNC100,None
47065301QA01,CNC100,None
47065401,CNC100,FS
47065501,CNC100,FS
47065501QA01,CNC100,FS
47065601,CNC100,None
47065601QA01,CNC100,None
47065701,CNC100,None
47065701QA01,CNC100,None
47065801,CNC100,FS
47065901,CNC100,GL
47066001,CNC100,FS
47066001QA01,CNC100,FS
47066101,CNC100,FS
47066201,CNC100,GL
47066201QA01,CNC100,GL
47066301,CNC100,GL
47066301QA01,CNC100,GL
47066401,CNC100,FSGL
47066401QA01,CNC100,FSGL
47066501,CNC100,FSGL
47066601,CNC100,FSGLTI
47066601QA01,CNC100,FSGLTI
47066701,CNC100,FSGL
47066801,CNC100,FSCX83
47066801QA01,CNC100,FSCX83
47066901,CNC100,FSGL
47067001,CNC100,GL
47067001QA01,CNC100,GL
47067101,CNC100,GL
47067201,CNC100,FSGL
47067201QA01,CNC100,FSGL
47067301,CNC100,FS2
47067301QA01,CNC100,FS2
47067401,CNC100,FS
47067501,CNC100,GL
47067601,CNC100,FSTI
47067601QA01,CNC100,FSTI
47067701,CNC100,FS2
47067801,CNC100,FS2
47067901,CNC100,FSGL
47067901QA01,CNC100,FSGL
47068001,CNC100,FS
47068101,CNC100,GL
47068101QA01,CNC100,GL
47068201,CNC100,FSGL
47068201QA01,CNC100,FSGL
47068301,CNC100,FS
47068301QA01,CNC100,FS
47068401,CNC100,FSGL
47068501,CNC100,FS
47142,D12D2,GL
47250,D12D2,None
47253,D12D2,None
47255,D12D2,UV
47265,D12D2,None
47268,D12D2,UV
47270,D12D2,GLTI
47272,D12D2,UVTI
47296,D12D2,FSGL
47297,D12D2,GLTI
47301,D12D2,GL
47305,D12D2,FSGLTI
47316,D12D2,FSGL
47346,D12D2,None
47358,D12D2,FSTI
47390,D12D2,None
47406,D12D2,None
47411,D12D2,FS
47418,D12D2,GL
47423,D12D2,TI
47425,D12D2,None
47429,D12D2,None
47430,D12D2,TI
47433,D12D2,UV
47435,D12D2,TH
47437,D12D2,UV
47520,D12D2,FS
47532,D12D2,FS
47533,D12D2,UV
47534,D12D2,GL
47556,D12D2,GL
47562,D12D2,TI
47572,D12D2,None
47573,D12D2,None
47576,D12D2,None
47580,D12D2,UV
47582,D12D2,None
47588,D12D2,GL
47592,D12D2,GL
47599,D12D2,GL
47604,D12D2,None
47608,D12D2,AU
47610,D12D2,None
47613,D12D2,None
47615,D12D2,AU
47616,D12D2,None
47621,D12D2,FS
47624,D12D2,None
47626,D12D2,None
47627,D12D2,None
47628,D12D2,None
47629,D12D2,FSGL
47631,D12D2,GL
47632,D12D2,GLDX3ASST
47639,D12D2,GL
47640,D12D2,GL
47641,D12D2,UV
47641QA01,D12D2,UV
47642,D12D2,GL
47643,D12D2,GL
47644,D12D2,UV
47646,D12D2,GL
47647,D12D2,UV
47649,D12D2,UV
47651,D12D2,UV
47652,D12D2,UV
47653,D12D2,UV
47653QA01,D12D2,UV
47654,D12D2,UV
47656,D12D2,UV
47657,D12D2,UV
47658,D12D2,GL
47660,D12D2,GL
47661,D12D2,GL
47667,D12D2,FS
47669,D12D2,UV
47672,D12D2,FS
47678,D12D2,None
47682,D12D2,None
47691,D12D2,SV
47695,D12D2,SV
47699,D12D2,SV
47705,D12D2,None
47706,D12D2,FS
47708,D12D2,None
47710,D12D2,GL
47711,D12D2,GL
47713,D12D2,GL
47714,D12D2,GL
47716,D12D2,GL
47717,D12D2,TH
47718,D12D2,GL
47722,D12D2,FS
47724,D12D2,GL
47726,D12D2,GL
47727,D12D2,GL
47728,D12D2,GL
47730,D12D2,FS
47732,D12D2,GL
47733,D12D2,FS
47733QC01,D12D2,FS
47735,D12D2,GL
47736,D12D2,FS
47737,D12D2,FS
47738,D12D2,GL
47739,D12D2,GL
47742,D12D2,FS
47747,D12D2,FS
47749,D12D2,TH
47750,D12D2,GL
47754,D12D2,GL
47759,D12D2,UV
47762,D12D2,UV
47764,D12D2,FS
47765,D12D2,FS
47768,D12D2,None
47774,D12D2,SV
47775,D12D2,GL
47777,D12D2,None
47778,D12D2,None
47781,D12D2,UV
47782,D12D2,None
47783,D12D2,None
47784,D12D2,None
47786,D12D2,UV
47787,D12D2,UV
47788,D12D2,UV
47789,D12D2,None
47790,D12D2,SV
47791,D12D2,None
47792,D12D2,None
47793,D12D2,None
47795,D12D2,None
47797,D12D2,None
47798,D12D2,None
47803,D12D2,None
47807,D12D2,None
47809,D12D2,UV
47811,D12D2,None
47812,D12D2,None
47814,D12D2,None
47815,D12D2,None
47818,D12D2,None
47819,D12D2,None
47820,D12D2,None
47823,D12D2,None
47826,D12D2,None
47827,D12D2,None
47828,D12D2,None
47831,D12D2,UV
47834,D12D2,UV
47835,D12D2,UV
47837,D12D2,UV
47840,D12D2,None
47844,D12D2,None
47846,D12D2,None
47848,D12D2,None
47850,D12D2,None
47854,D12D2,None
47855,D12D2,None
47858,D12D2,None
47860,D12D2,None
47864,D12D2,None
47865,D12D2,None
47866,D12D2,None
47869,D12D2,UV
47874,D12D2,UV
47875,D12D2,None
47877,D12D2,UV
47878,D12D2,None
47879,D12D2,None
47880,D12D2,None
47884,D12D2,UV
47885,D12D2,SV
47887,D12D2,None
47891,D12D2,UV
47897,D12D2,UV
47901,D12D2,GL
47905,D12D2,GL
47906,D12D2,GL
47908,D12D2,GL
47910,D12D2,GL
47914,D12D2,GL
47915,D12D2,GL
47916,D12D2,GL
47918,D12D2,GL
47919,D12D2,GL
47922,D12D2,GL
47927,D12D2,GL
47934,D12D2,FS
47941,D12D2,GL
47944,D12D2,GL
47945,D12D2,GL
47952,D12D2,FS
47953,D12D2,FS
47960,D12D2,GL
47962,D12D2,GL
47963,D12D2,GL
47966,D12D2,None
47967,D12D2,None
47971,D12D2,None
47972,D12D2,None
47974,D12D2,None
47980,D12D2,None
47984,D12D2,None
47990,D12D2,UV
47993,D12D2,None
47994,D12D2,None
48262,D12C2,None
48577,D12C2,UV
48643,D12C2,FS
48764,D12C2,UV
48812,D12C2,FS
48864,D12C2,None
49354,D12L2,None
49364,D12L2,None
49368,D12L2,None
49397,D12L2,None
49399,D12L2,None
49400,D12L2,None
49402,D12L2,None
49405,D12L2,None
49407,D12L2,None
49412,D12L2,None
49425,D12L2,None
49501,ASST,None
49515,ASST,None
49516,ASST,None
49616,ASST,None
50050301,D12D2,FSGL
50050401,D12D2,FSGLDX41
50050401QA01,D12D2,FSGLDX41
50050601,D12D2,FS2GL
50050701,D12D2,GL
50050901,D12D2,FSGL
50051101,D12D2,FS
50051201,D12D2,UV
50051401,D12D2,FS
50051501,D12D2,UV
50051601,D12D2,FSGLTI
50051701,D12D2,UV
50051801,D12D2,UV
50051901,D12D2,None
50052201,D12D2,None
50052301,D12D2,None
50052401,D12D2,None
50052501,D12D2,None
50052601,D12D2,None
50052601QA01,D12D2,None
50052701,D12D2,None
50052801,D12D2,None
50052901,D12D2,None
50053001,D12D2,None
50053101,D12D2,None
50053201,D12D2,None
50053301,D12D2,None
50053401,D12D2,None
50053501,D12D2,None
50053601,D12D2,None
50053701,D12D2,None
50053801,D12D2,None
50053901,D12D2,None
50056101,D12D2,GL
50056301,D12D2,None
50056401,D12D2,None
50056501,D12D2,SV
50056601,D12D2,None
50056701,D12D2,FS
50056801,D12D2,SV
50056901,D12D2,UV
50057001,D12D2,None
50057101,D12D2,None
50057201,D12D2,None
50057501,D12D2,None
50057601,D12D2,None
50057701,D12D2,None
50057801,D12D2,None
50057901,D12D2,SV
50058001,D12D2,SV
50058401,D12D2,UV
50058501,D12D2,FSTI
50058601,D12D2,FSGLTI
50058701,D12D2,FSGL
50058801,D12D2,UV
50058901,D12D2,GL
50059001,D12D2,FS
50059101,D12D2,FSGLTI
50059201,D12D2,UV
50059301,D12D2,GL
50059401,D12D2,FS
50059501,D12D2,GL
50059501QA01,D12D2,GL
50059601,D12D2,FSGL
50059701,D12D2,FSGL
50059801,D12D2,FSGLTI
50059901,D12D2,GL
50060001,D12D2,UV
50060101,D12D2,GL
50060901,D12D2,None
50061001,D12D2,None
50061101,D12D2,None
50061201,D12D2,None
50061301,D12D2,None
50061401,D12D2,None
50061501,D12D2,None
50061601,D12D2,None
50061701,D12D2,None
50061801,D12D2,UV
50061901,D12D2,None
50062001,D12D2,None
50062101,D12D2,None
50062201,D12D2,None
50062301,D12D2,None
50062401,D12D2,UV
50062501,D12D2,UV
50062601,D12D2,None
50062701,D12D2,None
50062801,D12D2,UV
50062901,D12D2,None
50063001,D12D2,UV
50063101,D12D2,None
50063201,D12D2,None
50063301,D12D2,None
50063501,D12D2,None
50063601,D12D2,UV
50063701,D12D2,SV
50063801,D12D2,UV
50063901,D12D2,None
50064001,D12D2,UV
50064101,D12D2,None
50064201,D12D2,None
50064301,D12D2,None
50064401,D12D2,None
50064501,D12D2,None
50064601,D12D2,SV
50064801,D12D2,UV
50064901,D12D2,None
50065001,D12D2,UV
50065101,D12D2,None
50065201,D12D2,None
50065301,D12D2,None
50065401,D12D2,UV
50065501,D12D2,UV
50065801,D12D2,FS
50066001,D12D2,GL
50066101,D12D2,GL
50066401,D12D2,GL
50066501,D12D2,GL
50066601,D12D2,GL
50066701,D12D2,UV
50066801,D12D2,UV
50067501,D12D2,FS2DX38
50067601,D12D2,GL
50068201,D12D2,GL
50068301,D12D2,FS
50068401,D12D2,None
50068501,D12D2,GL
50068601,D12D2,GLTI
50068701,D12D2,FSGL
50068901,D12D2,FSGL
50069001,D12D2,FSGL
50069101,D12D2,UV
50069201,D12D2,FS
50069201QA01,D12D2,FS
50069301,D12D2,GL
50069401,D12D2,FS
50069501,D12D2,FS
50069601,D12D2,FSGL
50069701,D12D2,FS
50069801,D12D2,None
50072401,D12D2,GLDX38
50072501,D12D2,FSGL
50072601,D12D2,FSGL
50072701,D12D2,None
50072801,D12D2,FS
50072901,D12D2,FSGL
50073001,D12D2,GL
50073101,D12D2,None
50073201,D12D2,GL
50073301,D12D2,FS
50073401,D12D2,FSGL
50073501,D12D2,FSGL
50073601,D12D2,GL
50073701,D12D2,GL
50073801,D12D2,GL
50073901,D12D2,SV
50074001,D12D2,GL
50074101,D12D2,GL
50074201,D12D2,UV
50074301,D12D2,GL
50074301QA01,D12D2,GL
50074401,D12D2,FSGL
50074501,D12D2,SV
50074601,D12D2,UV
50074701,D12D2,UV
50074801,D12D2,None
50074901,D12D2,UV
50075001,D12D2,FS
50075101,D12D2,FS
50075201,D12D2,FS
50075301,D12D2,FS
50075701,D12D2,SVTI
50075801,D12D2,FS
50075901,D12D2,None
50076001,D12D2,None
50076101,D12D2,None
50076201,D12D2,FS
50076301,D12D2,TH
50076401,D12D2,GL
50076501,D12D2,FSGLTI
50076601,D12D2,UV
50076701,D12D2,FSGL
50076801,D12D2,FSGL
50076901,D12D2,FSGL
50077101,D12D2,FSGL
50077201,D12D2,FSGL
50077301,D12D2,FSGL
50077401,D12D2,FSGL
50077501,D12D2,GLDX38
50077601,D12D2,FSGLTI
50077801,D12D2,GLTI
50077801QA01,D12D2,GLTI
50077901,D12D2,GLTI
50078001,D12D2,FSGL
50078101,D12D2,FSGL
50078201,D12D2,GLTI
50078301,D12D2,FSEBX-RRR
50078401,D12D2,FS
50078601,D12D2,FS
50078701,D12D2,GL
50078801,D12D2,GL
50078901,D12D2,GL
50079001,D12D2,SVTI
50079101,D12D2,GL
50079201,D12D2,GL
50079301,D12D2,GL
50079401,D12D2,TH
50079501,D12D2,None
50079601,D12D2,None
50079701,D12D2,FS
50079801,D12D2,UV
50079901,D12D2,FSGL
50080001,D12D2,FS
50080101,D12D2,None
50080201,D12D2,None
50080301,D12D2,GLDX38
50080401,D12D2,GLTI
50080501,D12D2,FSGLTI
50080601,D12D2,FSGL
50080701,D12D2,None
50080801,D12D2,GL
50080901,D12D2,FSGL
50081001,D12D2,GL
50081101,D12D2,GL
50081201,D12D2,GL
50081301,D12D2,GL
50081401,D12D2,SVTI
50081401QA01,D12D2,SVTI
50081601,D12D2,FS
50081701,D12D2,None
50081801,D12D2,GL
50081901,D12D2,UV
50082001,D12D2,FSTI
50082101,D12D2,FS
50082201,D12D2,FS
50082301,D12D2,GL
50082401,D12D2,FS
50082501,D12D2,FS
50082601,D12D2,None
50082701,D12D2,GL
50082801,D12D2,FS
50082901,D12D2,UV
50083001,D12D2,GL
50083101,D12D2,FS
50083201,D12D2,FSTI
50083301,D12D2,FS
50083301QC01,D12D2,FS
50083401,D12D2,FS
50083501,D12D2,GLTI
50083601,D12D2,GL
50083701,D12D2,UV
50083801,D12D2,None
50083801QA01,D12D2,None
50083901,D12D2,UV
50084001,D12D2,GLTI
50084101,D12D2,FS
50084201,D12D2,None
50084301,D12D2,FSGLTI
50084401,D12D2,FSGL
50084501,D12D2,FS
50084501QA01,D12D2,FS
50084601,D12D2,UV
50084601QA01,D12D2,UV
50084701,D12D2,UV
50084701QA01,D12D2,UV
50084801,D12D2,None
50084901,D12D2,UVDX38
50084901QA01,D12D2,UVDX38
50085001,D12D2,GL
50085101,D12D2,UV
50085101QA01,D12D2,UV
50085201,D12D2,FSGL
50085201QA01,D12D2,FSGL
50085301,D12D2,UV
50085401,D12D2,FSTI
50085501,D12D2,UV
50085501QA01,D12D2,UV
50085601,D12D2,None
50085701,D12D2,None
50085801,D12D2,FS
50085801QA01,D12D2,FS
50085901,D12D2,None
50086001,D12D2,TH
50086101,D12D2,THDX4ASST
50086201,D12D2,THDX4ASST
50086301,D12D2,FSGL
50086301QA01,D12D2,FSGL
50086401,D12D2,FSGL
50086401QA01,D12D2,FSGL
50086501,D12D2,FSGL
50086601,D12D2,THDX50
50086701,D12D2,THDX50
50086701QA01,D12D2,THDX50
50086801,D12D2,THDX50
50086901,D12D2,THDX50
50087001,D12D2,THDX50
50087101,D12D2,THDX50
50087201,D12D2,THDX50
50087301,D12D2,GL
5310DA01,BAN,None
5316DA01,BAN,None
54244,BOOKMARKS,None
54257,BOOKMARKS,None
54288,BOOKMARKS,None
54292,BOOKMARKS,None
54294,BOOKMARKS,None
54301,BOOKMARKS,None
54309,BOOKMARKS,None
54314,BOOKMARKS,None
54315,BOOKMARKS,None
54318,BOOKMARKS,None
54319,BOOKMARKS,None
55198,D12C2,None
55199,D12C2,None
55209,D12C2,None
55235,D12C2,GL
55240,D12C2,GL
55251,D12C2,GL
55271,D12C2,None
55461,D12C2,None
55469,D12C2,FS
55624,D12C2,GL
55633,D12C2,GL
55781,D12C2,GL
55786,D12C2,GL
55904,D12C2,UV
55940,D12C2,FSEBX-RRTI
55955,D12C2,None
55956,D12C2,None
56003,MUGIH,IN HOUSE
56155,MUGIH,IN HOUSE
56392,MUGXMAS,IN HOUSE
56411,MUGXMAS,IN HOUSE
56413,MUGXMAS,IN HOUSE
56416,MUGXMAS,IN HOUSE
56417,MUGXMAS,IN HOUSE
56433,MUGXMAS,IN HOUSE
56434,MUGXMAS,IN HOUSE
56435,MUGXMAS,IN HOUSE
56436,MUGXMAS,IN HOUSE
56438,MUGXMAS,IN HOUSE
56439,MUGXMAS,IN HOUSE
56440,MUGXMAS,IN HOUSE
56463,MUGXMAS,IN HOUSE
56464,MUGXMAS,IN HOUSE
56465,MUGXMAS,IN HOUSE
56466,MUGXMAS,IN HOUSE
56467,MUGXMAS,IN HOUSE
56468,MUGXMAS,IN HOUSE
56469,MUGXMAS,IN HOUSE
56470,MUGXMAS,IN HOUSE
57050201,DNC100,FSGL
57050501,DNC100,FS
57050601,DNC100,FS
57050601QA01,DNC100,FS
57050701,DNC100,FS
57050701QA01,DNC100,FS
57050801,DNC100,GL
57050901,DNC100,FS
57051001,DNC100,None
57051101,DNC100,None
57051201,DNC100,FS
57051301,DNC100,FS
57051401,DNC100,FS
57051501,DNC100,FS
57051701,DNC100,FS
57051801,DNC100,None
57051901,DNC100,FS
57052101,DNC100,GL
57052201,DNC100,FS
57052301,DNC100,FS
57052401,DNC100,FS
57052501,DNC100,GLEBX-YYY
57052601,DNC100,EBX-CC
57053201,DNC100,EBX-4
57054001,DNC100,EBX-4
57054201,DNC100,EBX-CC
57054501,DNC100,FSGLTI
57054701,DNC100,GLDX38
57055101,DNC100,GLDX38
57055501,DNC100,GLDX38
57055601,DNC100,GLDX38
57055701,DNC100,GLDX38
57055801,DNC100,GLDX38
57056201,DNC100,EBX-84
57056201QA01,DNC100,EBX-84
57056301,DNC100,GL
57056501,DNC100,FS
57056601,DNC100,FSGL
57056801,DNC100,FS
57056901,DNC100,FS
57057001,DNC100,FSGL
57057101,DNC100,FSGL
57057201,DNC100,FS
57057301,DNC100,FS
57057401,DNC100,FS
57057501,DNC100,FSGL
57057701,DNC100,GL
57057901,DNC100,GL
57058001,DNC100,EBX-75
57058101,DNC100,None
57058201,DNC100,None
57058301,DNC100,EBX-CC
57058301QA01,DNC100,EBX-CC
57058401,DNC100,EBX-3
57058401QA01,DNC100,EBX-3
57058501,DNC100,EBX-4
57058601,DNC100,EBX-ASST
57058701,DNC100,EBX-A
57058801,DNC100,EBX-4
57058901,DNC100,EBX-3
57058901QA01,DNC100,EBX-3
57059001,DNC100,EBX-4
57059101,DNC100,EBX-84
57059201,DNC100,EBX-3
57059301,DNC100,EBX-ASST
57059401,DNC100,EBX-4
57059501,DNC100,EBX-4
57059601,DNC100,EBX-83
57059701,DNC100,EBX-A
57059701QA01,DNC100,EBX-A
57059801,DNC100,EBX-A
57059901,DNC100,EBX-88
57060001,DNC100,EBX-84
57060101,DNC100,EBX-101
57060201,DNC100,EBX-84
57060301,DNC100,EBX-CC
57060301QA01,DNC100,EBX-CC
57060401,DNC100,EBX-4
57060501,DNC100,GL
57060601,DNC100,FS
57060601QA01,DNC100,FS
57060701,DNC100,GL
57060801,DNC100,GL
57060901,DNC100,FS
57060901QA01,DNC100,FS
57061001,DNC100,None
57061001QA01,DNC100,None
57061101,DNC100,None
57061201,DNC100,GL
57061201QA01,DNC100,GL
57061301,DNC100,FS
57061301QA01,DNC100,FS
57598,CNC130,GLEBX-OOOPI
57609,CNC130,GLTI
57615,CNC130,FSGL
57616,CNC130,GLEBX-OOOPI
57621,CNC130,FSTI
57622,CNC130,FS2TI
57623,CNC130,FSGLTI
57626,CNC130,GLEBX-WWW
57627,CNC130,GLEBX-VVVTI
57628,CNC130,FSTI
58050101,DNC130,FS
59544,D12C2,None
60050101QC01,D12Q2,GL
60050201QC01,D12Q2,TH
60050301QC01,D12Q2,UV
60050501,D12Q2,FS
60050501QC01,D12Q2,FS
60050601,D12Q2,UV
60050601QC01,D12Q2,UV
60050701,D12Q2,UV
60050701QC01,D12Q2,UV
60050801,D12Q2,FSGL
60050801QC01,D12Q2,FSGL
60051001,D12Q2,UV
60051001QA01,D12Q2,UV
60523,CNC100,GL
60526,CNC100,None
60543,CNC100,None
60545,CNC100,None
60563,CNC100,FS
60563QC01,CNC100,FS
60568,CNC100,TH
60569,CNC100,TI
60577,CNC100,GL
60578,CNC100,GL
60583,CNC100,GL
60585,CNC100,TH
60586,CNC100,GL
60589,CNC100,None
60599,CNC100,FSGL
60599QC01,CNC100,FSGL
60601,CNC100,GL
60601QC01,CNC100,GL
60603,CNC100,GL
60604,CNC100,GL
60608,CNC100,GL
60608QC01,CNC100,GL
60609,CNC100,GLTI
60614,CNC100,None
60616,CNC100,GL
60617,CNC100,GL
