Material,Matl group,Size/dimensions
04555193,CARLA,None
04555195,CARLA,None
04555198,CARLA,None
04555200,CARLA,None
04555204,CARLA,None
04555205,CARLA,None
04555207,CARLA,None
04561010,CARLA,None
04561011,CARLA,None
04561014,CARLA,None
04580006,CARLA,None
04580007,CARLA,None
04580008,CARLA,None
04580009,CARLA,None
04580010,CARLA,None
04580011,CARLA,None
04580012,CARLA,None
04580013,CARLA,None
04585050,CARLA,None
04585051,CARLA,None
04585052,CARLA,None
04585053,CARLA,None
04585054,CARLA,None
04585055,CARLA,None
04585056,CARLA,None
04585057,CARLA,None
04585058,CARLA,None
04585059,CARLA,None
04585060,CARLA,None
04585061,CARLA,None
04585062,CARLA,None
04585063,CARLA,None
04585064,CARLA,None
04585065,CARLA,None
04585066,CARLA,None
04585067,CARLA,None
04585068,CARLA,None
04585069,CARLA,None
04585070,CARLA,None
04585071,CARLA,None
04585072,CARLA,None
04585073,CARLA,None
04585074,CARLA,None
04585075,CARLA,None
06011023,SCLTIP,None
06011036,SCLTIP,None
06011051,SCLTIP,None
06011052,SCLTIP,None
06011073,SCLTIP,None
06011077,SCLTIP,None
06011078,SCLTIP,None
06011080,SCLTIP,None
06011089,SCLTIP,FS
06011092,SCLTIP,None
06011094,SCLTIP,None
06011103,SCLTIP,FS
06011105,SCLTIP,None
06011106,SCLTIP,FS
06011111,SCLTIP,None
06011124,SCLTIP,None
06011125,SCLTIP,None
06011127,SCLTIP,None
06011128,SCLTIP,None
06011129,SCLTIP,FS
06011130,SCLTIP,None
06011131,SCLTIP,FS
06011132,SCLTIP,FS
06011133,SCLTIP,FS
06011134,SCLTIP,None
06011135,SCLTIP,None
06011136,SCLTIP,FS
06011137,SCLTIP,None
06011139,SCLTIP,FS
06011140,SCLTIP,FS
06011142,SCLTIP,None
06011143,SCLTIP,FS
06011144,SCLTIP,None
06011145,SCLTIP,FS
06011146,SCLTIP,None
06011147,SCLTIP,None
06011148,SCLTIP,None
06021004,SDXTIP,None
06021006,SDXTIP,None
06021007,SDXTIP,None
06021009,SDXTIP,None
06021023,SDXTIP,None
06021027,SDXTIP,FS
06021029,SDXTIP,FS
06021037,SDXTIP,None
06021043,SDXTIP,None
06021044,SDXTIP,None
06021047,SDXTIP,None
06021048,SDXTIP,None
06021049,SDXTIP,None
06021050,SDXTIP,None
06021052,SDXTIP,None
06021059,SDXTIP,None
06021060,SDXTIP,None
06021062,SDXTIP,None
06021067,SDXTIP,None
06021068,SDXTIP,None
06021070,SDXTIP,None
06021073,SDXTIP,None
06021074,SDXTIP,None
06021075,SDXTIP,None
06021076,SDXTIP,None
06021077,SDXTIP,None
06021078,SDXTIP,None
06021080,SDXTIP,FS
06021081,SDXTIP,None
06021082,SDXTIP,FS
06021084,SDXTIP,None
06021085,SDXTIP,None
06021086,SDXTIP,FS
06021087,SDXTIP,FS
06021088,SDXTIP,FS
06021090,SDXTIP,FS
06021091,SDXTIP,None
06021092,SDXTIP,FS
06021093,SDXTIP,FS
06021094,SDXTIP,FS
06021095,SDXTIP,FS
06021097,SDXTIP,FS
06021099,SDXTIP,FS
06021100,SDXTIP,None
06021101,SDXTIP,FS
06021102,SDXTIP,FS
06021103,SDXTIP,FS
06040034,HCLTIP,None
06050001,HDXTIP,None
06050002,HDXTIP,None
06050005,HDXTIP,None
06050012,HDXTIP,None
06050013,HDXTIP,None
06050016,HDXTIP,None
06050017,HDXTIP,FS
06050019,HDXTIP,None
06050021,HDXTIP,FS
06050025,HDXTIP,FS
06050026,HDXTIP,FS
06050027,HDXTIP,None
10624,D12D2,UV
10630,D12D2,None
10805,D12D2,None
10818,D12D2,None
11674,D12D2,None
11719,D12D2,None
13119,D12D2,None
13190,D12D2,GL
13195,D12D2,None
13288,D12D2,UV
13473,D12D2,FSTI
13475,D12D2,THTI
13704,D12D2,None
13708,D12D2,None
13970,D12D2,None
13971,D12D2,None
14866,D12D2,GL
14878,D12D2,None
14895,D12D2,GL
15413,D12D2,SVTI
15692,D12D2,None
16472,D12C2,None
17056,D12D2,GL
17218,D12D2,GLDX3ASST
17443,D12D2,None
17625,D12D2,GLTI
17626,D12D2,GLDX43
17652,D12D2,SVFS
17658,D12D2,None
17659,D12D2,GL
17699,D12D2,FSGL
20443,D12D2,FSGL
20470,D12D2,GLDX38
20537,D12D2,FSTH
20647,D12D2,None
20705,D12D2,None
20706,D12D2,UV
20715,D12D2,None
20732,D12D2,None
20777,D12D2,GL
20825,D12D2,GL
20826,D12D2,GL
20836,D12D2,None
20867,D12D2,None
20881,D12D2,None
20975,D12D2,None
20999,D12D2,None
22742,MONEYCD,FSMC
22744,MONEYCD,SVMC
22747,MONEYCD,FSMC
23567,D12Q2,GL
23567QC01,D12Q2,GL
23568,D12Q2,GL
23569,D12Q2,QX17
23569QC01,D12Q2,QX17
23573,D12Q2,UV
23573QC01,D12Q2,UV
23576QC01,D12Q2,None
23592,D12Q2,GL
23594QC01,D12Q2,UV
23596QC01,D12Q2,UV
23599QC01,D12Q2,SV
23600,D12Q2,FS
23600QC01,D12Q2,FS
24723,D12C2,GL
25507DA01,MAGNT,None
25617DA01,MAGNT,None
25703DA01,MAGNT,None
26001DA01,MAGSQ,None
26009DA01,MAGSQ,None
26149DA01,MAGSQ,None
26486DA01,MAGSQ,None
26487DA01,MAGSQ,None
26493DA01,MAGSQ,None
26552DA01,MAGSQ,None
26564DA01,MAGSQ,None
26591DA01,MAGSQ,None
26592DA01,MAGSQ,None
26593DA01,MAGSQ,None
26595DA01,MAGSQ,None
28942,ASST,None
28948,ASST,None
291TRAY,RACKC,None
29448,D12C2,UV
29494,D12C2,SV
30652,CZFOLD,FSZ
31236DA01,MAGRT,None
31284DA01,MAGRT,None
31409DA01,MAGRT,None
31441DA01,MAGRT,None
31443DA01,MAGRT,None
31448DA01,MAGRT,None
31485DA01,MAGRT,None
31499DA01,MAGRT,None
31501DA01,MAGRT,None
31514DA01,MAGRT,None
31515DA01,MAGRT,None
31520DA01,MAGRT,None
31521DA01,MAGRT,None
31545DA01,MAGRT,None
31560DA01,MAGRT,None
31607DA01,MAGRT,None
31609DA01,MAGRT,None
31614DA01,MAGRT,None
31618DA01,MAGRT,None
31629DA01,MAGRT,None
31639DA01,MAGRT,None
31641DA01,MAGRT,None
31645DA01,MAGRT,None
31649DA01,MAGRT,None
31650DA01,MAGRT,None
32075,D12C2,None
32083,D12C2,None
32090,D12C2,None
32116,D12C2,FSCX77
32122,D12C2,FS
32125,D12C2,FSTI
32134,D12C2,None
32141,D12C2,None
32157,D12C2,FS
32176,D12C2,UV
32184,D12C2,None
32190,D12C2,TI
32195,D12C2,FS
32197,D12C2,GL
32200,D12C2,FS
32266,D12C2,None
32289,D12C2,None
32313,D12C2,FS2
32321,D12C2,FS
32340,D12C2,None
32341,D12C2,None
32342,D12C2,GL
32347,D12C2,None
32354,D12C2,GL
32364,D12C2,None
32365,D12C2,None
32392,D12C2,FSTI
32396,D12C2,GL
32405,D12C2,GL
32408,D12C2,None
32409,D12C2,None
32414,D12C2,TH
32423,D12C2,None
32434,D12C2,None
32450,D12C2,UV
32491,D12C2,UV
32513,D12C2,FS
32573,D12C2,None
32576,D12C2,UV
32578,D12C2,None
32581,D12C2,None
32585,D12C2,None
32586,D12C2,None
32587,D12C2,None
32589,D12C2,None
32593,D12C2,None
32595,D12C2,None
32597,D12C2,SV
32598,D12C2,None
32599,D12C2,UV
32600,D12C2,UV
32610,D12C2,SV
32610QC01,D12C2,SV
32612,D12C2,None
32617,D12C2,None
32627,D12C2,GL
32635,D12C2,None
32636,D12C2,None
32637,D12C2,None
32640,D12C2,None
32641,D12C2,None
32642,D12C2,UV
32644,D12C2,None
32646,D12C2,None
32647,D12C2,None
32652,D12C2,None
32654,D12C2,None
32656,D12C2,None
32659,D12C2,None
32665,D12C2,FS2
32667,D12C2,FSGL
32673,D12C2,GL
32675,D12C2,GL
32680,D12C2,GL
32681,D12C2,FS
32682,D12C2,FS
32683,D12C2,GL
32684,D12C2,GL
32685,D12C2,GL
32686,D12C2,GL
32688,D12C2,CVP1
32691,D12C2,TH
32694,D12C2,CVP1
32695,D12C2,CVP1
32696,D12C2,CVP1
32699,D12C2,GL
32700,D12C2,FS
32701,D12C2,TH
32705,D12C2,None
32708,D12C2,None
32710,D12C2,None
32711,D12C2,None
32717,D12C2,None
32723,D12C2,None
32729,D12C2,FS
32730,D12C2,SV
32732,D12C2,GL
32733,D12C2,FSCW3
32736,D12C2,UV
32738,D12C2,None
32741,D12C2,UV
32745,D12C2,UV
32746,D12C2,None
32749,D12C2,UV
32752,D12C2,None
32755,D12C2,None
32760,D12C2,UV
32761,D12C2,None
32767,D12C2,GLTH
32774,D12C2,FSGL
32780,D12C2,CVP1
32781,D12C2,GL
32783,D12C2,TH
32796,D12C2,TH
32798,D12C2,GL
32800,D12C2,FSCX77
32801,D12C2,SVTI
32840,D12C2,GL
32841,D12C2,None
32846,D12C2,FS
32847,D12C2,None
32852,D12C2,CX75
32853,D12C2,GL
32862,D12C2,None
32865,D12C2,None
32875,D12C2,None
32877,D12C2,None
32880,D12C2,None
32911,D12C2,GL
32952,D12C2,UV
32959,D12C2,None
32963,D12C2,FS
32964,D12C2,GL
32967,D12C2,UV
32970,D12C2,None
32979,D12C2,None
32981,D12C2,TH
32983,D12C2,None
32984,D12C2,FS2
32986,D12C2,UV
32987,D12C2,None
